timestamp,cpu_percent,ram_percent,temp_c
2026-05-12T00:15:15.536012,0.0,33.5,55.0
2026-05-12T00:15:16.530939,67.4,33.5,54.0
2026-05-12T00:15:17.545305,78.3,33.5,55.0
2026-05-12T00:15:18.536893,78.7,33.2,55.0
2026-05-12T00:15:19.535542,63.4,33.1,54.0
2026-05-12T00:15:20.535555,65.4,33.1,55.0
2026-05-12T00:15:21.539945,65.4,33.1,54.5
2026-05-12T00:15:22.544073,66.9,33.0,54.5
2026-05-12T00:15:23.540439,65.8,33.0,55.0
2026-05-12T00:15:24.548580,69.8,33.0,54.5
2026-05-12T00:15:25.545069,69.0,32.9,54.5
2026-05-12T00:15:26.538762,70.4,32.8,54.5
2026-05-12T00:15:27.542775,79.5,32.7,55.5
2026-05-12T00:15:28.542184,77.4,32.7,54.5
2026-05-12T00:15:29.542806,64.3,32.6,55.0
2026-05-12T00:15:30.547683,66.8,32.6,54.5
2026-05-12T00:15:31.547734,64.7,32.6,55.0
2026-05-12T00:15:32.542990,65.0,32.6,55.0
2026-05-12T00:15:33.545089,65.7,32.5,54.5
2026-05-12T00:15:34.543933,67.6,32.5,55.0
2026-05-12T00:15:35.547938,67.6,32.4,55.0
2026-05-12T00:15:36.545720,67.8,32.3,56.0
2026-05-12T00:15:37.556182,75.5,32.4,54.5
2026-05-12T00:15:38.546291,69.6,32.4,55.0
2026-05-12T00:15:39.565510,65.1,32.4,55.0
2026-05-12T00:15:40.551852,66.9,32.3,54.0
2026-05-12T00:15:41.556832,65.5,32.4,54.5
2026-05-12T00:15:42.556468,64.6,32.3,54.5
2026-05-12T00:15:43.558012,65.7,32.3,55.0
2026-05-12T00:15:44.565453,65.0,32.3,55.0
2026-05-12T00:15:45.577106,70.3,32.3,56.0
2026-05-12T00:15:46.557936,68.7,32.3,54.0
2026-05-12T00:15:47.567379,73.1,32.4,54.0
2026-05-12T00:15:48.561973,73.4,32.4,54.5
2026-05-12T00:15:49.566295,68.5,32.4,54.5
2026-05-12T00:15:50.561125,69.4,32.4,55.0
2026-05-12T00:15:51.560376,65.9,32.4,54.5
2026-05-12T00:15:52.562064,66.3,32.3,54.5
2026-05-12T00:15:53.572411,68.4,32.3,54.0
2026-05-12T00:15:54.567079,68.6,32.3,55.5
2026-05-12T00:15:55.571024,66.1,32.3,54.0
2026-05-12T00:15:56.567555,68.0,32.3,54.5
2026-05-12T00:15:57.576682,72.6,32.4,54.5
2026-05-12T00:15:58.563478,84.6,32.7,55.0
2026-05-12T00:15:59.570348,76.1,32.7,54.5
2026-05-12T00:16:00.571559,83.2,32.8,54.5
2026-05-12T00:16:01.575488,88.9,32.8,56.4
2026-05-12T00:16:02.571973,81.4,32.8,53.5
2026-05-12T00:16:03.578160,89.2,32.8,56.9
2026-05-12T00:16:04.574741,87.5,32.8,54.5
2026-05-12T00:16:05.575344,88.6,32.8,54.5
2026-05-12T00:16:06.568108,87.5,32.9,56.4
2026-05-12T00:16:07.580639,75.4,33.0,55.5
2026-05-12T00:16:08.568021,70.6,33.0,56.4
2026-05-12T00:16:09.585609,66.1,33.0,54.0
2026-05-12T00:16:10.570108,66.8,33.0,55.5
2026-05-12T00:16:11.574582,68.7,33.0,56.0
2026-05-12T00:16:12.568639,68.5,32.9,55.0
2026-05-12T00:16:13.577460,68.9,32.9,54.5
2026-05-12T00:16:14.574939,69.3,32.9,55.5
2026-05-12T00:16:15.574539,63.5,32.9,54.5
2026-05-12T00:16:16.570726,67.7,32.9,55.0
2026-05-12T00:16:17.576691,74.7,33.0,55.5
2026-05-12T00:16:18.586000,73.6,32.8,55.0
2026-05-12T00:16:19.576586,65.8,32.8,56.0
