Métrique,Valeur,Unité
FPS observé,2.73,fps
Frames reçues,164,frames
Durée test,60,s
Topic MQTT,shos/camera/vision,
Intervalle inter-frame,369.2,ms
Jitter,81.09,ms
Latence E2E moyenne,1.74,ms
Latence E2E min,0.64,ms
Latence E2E max,10.9,ms
Latence E2E P95,4.32,ms
