Métrique,Valeur,Unité
FPS observé,3.03,fps
Frames reçues,182,frames
Durée test,60,s
Topic MQTT,shos/camera/vision,
Intervalle inter-frame,330.33,ms
Jitter,75.55,ms
Latence E2E moyenne,1.5,ms
Latence E2E min,0.57,ms
Latence E2E max,9.85,ms
Latence E2E P95,4.3,ms
