Métrique,Valeur,Unité
FPS observé,2.53,fps
Frames reçues,152,frames
Durée test,60,s
Topic MQTT,shos/camera/vision,
Intervalle inter-frame,398.03,ms
Jitter,33.63,ms
Latence E2E moyenne,1.89,ms
Latence E2E min,0.69,ms
Latence E2E max,5.87,ms
Latence E2E P95,3.92,ms
