timestamp,cpu_percent,ram_percent,temp_c
2026-05-12T00:21:59.804926,0.0,32.0,56.0
2026-05-12T00:22:00.805294,35.5,31.6,56.9
2026-05-12T00:22:01.814750,42.6,31.6,55.5
2026-05-12T00:22:02.815837,76.9,31.7,56.4
2026-05-12T00:22:03.816119,74.4,31.7,55.0
2026-05-12T00:22:04.805238,74.2,31.8,56.9
2026-05-12T00:22:05.813248,73.6,31.8,56.4
2026-05-12T00:22:06.808772,77.4,31.8,56.4
2026-05-12T00:22:07.815493,74.2,31.8,56.0
2026-05-12T00:22:08.818974,72.9,31.8,56.0
2026-05-12T00:22:09.817066,75.6,31.8,54.5
2026-05-12T00:22:10.820100,73.4,31.7,55.5
2026-05-12T00:22:11.822012,75.5,31.7,55.5
2026-05-12T00:22:12.818297,77.2,31.7,56.9
2026-05-12T00:22:13.832228,85.8,31.8,55.5
2026-05-12T00:22:14.818100,74.5,31.8,55.0
2026-05-12T00:22:15.816330,44.0,31.8,56.4
2026-05-12T00:22:16.818173,30.7,31.7,56.0
2026-05-12T00:22:17.815975,38.3,31.7,55.5
2026-05-12T00:22:18.816190,35.5,31.7,55.5
2026-05-12T00:22:19.815816,30.3,31.4,55.0
2026-05-12T00:22:20.817769,31.4,31.4,55.5
2026-05-12T00:22:21.817891,30.2,31.4,54.0
2026-05-12T00:22:22.816541,30.4,31.3,54.5
2026-05-12T00:22:23.818671,32.0,31.3,53.5
2026-05-12T00:22:24.817192,31.4,31.3,54.5
2026-05-12T00:22:25.818542,30.3,31.3,54.5
2026-05-12T00:22:26.822022,42.0,31.5,55.0
2026-05-12T00:22:27.825965,75.9,31.7,55.5
2026-05-12T00:22:28.826974,78.0,31.7,56.0
2026-05-12T00:22:29.830920,84.6,31.8,55.5
2026-05-12T00:22:30.829067,75.8,31.8,55.5
2026-05-12T00:22:31.835187,78.1,32.4,56.4
2026-05-12T00:22:32.833507,71.4,32.3,55.0
2026-05-12T00:22:33.828800,70.0,32.4,55.0
2026-05-12T00:22:34.837612,69.9,32.4,55.5
2026-05-12T00:22:35.833913,77.9,32.4,56.0
2026-05-12T00:22:36.837051,66.8,32.4,55.0
2026-05-12T00:22:37.841544,82.6,32.3,55.5
2026-05-12T00:22:38.842448,74.9,32.3,55.5
2026-05-12T00:22:39.837479,82.5,32.5,54.5
2026-05-12T00:22:40.836076,76.9,32.5,56.0
2026-05-12T00:22:41.834703,75.8,32.5,56.4
2026-05-12T00:22:42.842598,83.8,32.5,56.0
2026-05-12T00:22:43.846824,78.4,32.6,54.5
2026-05-12T00:22:44.836874,80.1,32.5,56.0
2026-05-12T00:22:45.834232,82.8,32.4,54.0
2026-05-12T00:22:46.843320,78.5,32.5,56.4
2026-05-12T00:22:47.845356,73.6,32.5,54.5
2026-05-12T00:22:48.836290,76.0,32.4,56.0
2026-05-12T00:22:49.846018,66.1,32.5,56.0
2026-05-12T00:22:50.846989,74.0,32.2,55.0
2026-05-12T00:22:51.846627,83.5,32.0,55.5
2026-05-12T00:22:52.855029,79.5,32.1,55.0
2026-05-12T00:22:53.850333,85.0,32.2,55.5
2026-05-12T00:22:54.845043,84.4,32.2,55.5
2026-05-12T00:22:55.844251,76.9,32.2,55.5
2026-05-12T00:22:56.854655,88.6,32.5,56.0
2026-05-12T00:22:57.848876,88.5,32.7,56.4
2026-05-12T00:22:58.852404,86.0,32.5,56.4
2026-05-12T00:22:59.847792,88.0,32.5,56.0
2026-05-12T00:23:00.853271,87.3,33.0,56.9
2026-05-12T00:23:01.859341,75.4,33.6,55.5
2026-05-12T00:23:02.854944,82.6,33.6,56.4
2026-05-12T00:23:03.871327,82.4,33.8,56.0
