Métrique,Valeur,Unité
FPS observé,2.78,fps
Frames reçues,167,frames
Durée test,60,s
Topic MQTT,shos/camera/vision,
Intervalle inter-frame,361.94,ms
Jitter,107.69,ms
Latence E2E moyenne,1.53,ms
Latence E2E min,0.66,ms
Latence E2E max,6.68,ms
Latence E2E P95,4.32,ms
