Métrique,Valeur,Unité
Messages envoyés,100,
Messages reçus,100,
Erreurs/Timeout,0,
Perte paquets,0.0,%
Latence min,0.394,ms
Latence max,1.927,ms
Latence moyenne,0.679,ms
Latence médiane,0.613,ms
Latence P95,1.191,ms
Latence P99,1.927,ms
